"Month","Scenario","Median","Q1","Q3","IQR"
"January","CHHW",0.0857455292958766,0.0403310204772279,0.182899504263885,0.142568483786657
"January","CHFW_cool",0.0796794743943028,0.0377753284117207,0.168580188337713,0.130804859925993
"January","CHFW_hot",0.078742459195666,0.0372610136016738,0.166337069222936,0.129076055621263
"January","FHHW",0.0532948287178297,0.0258888068776578,0.109820687913336,0.0839318810356781
"January","FHFW_cool",0.0510965702696703,0.0248952965531498,0.105267862975597,0.0803725664224476
"January","FHFW_hot",0.050420472570695,0.0245160825492349,0.10373473058641,0.0792186480371747
"July","CHHW",0.0493636682946235,0.025028467848897,0.10057769835135,0.0755492305024527
"July","CHFW_cool",0.0637393921765033,0.031845523477532,0.131018874451285,0.0991733509737533
"July","CHFW_hot",0.0678835312398151,0.0338002790659666,0.139868397736223,0.106068118670257
"July","FHHW",0.0459240356385708,0.0234523636065423,0.0933227968849242,0.0698704332783818
"July","FHFW_cool",0.0553727995262016,0.028146885432303,0.112257018713746,0.0841101332814433
"July","FHFW_hot",0.0579781576164532,0.0294319609529339,0.11778647120297,0.0883545102500357
