"scenario","median","Q1","Q3","IQR"
"CHHW",0.764862206449732,0.632473105298122,0.886272804880515,0.253799699582392
"CHFW_cool",0.760047452305211,0.631203323423862,0.881810757670086,0.250607434246223
"CHFW_hot",0.756344253810821,0.62379124685144,0.880173938063905,0.256382691212464
"FHHW",0.706772839156445,0.556846960433759,0.853823345910758,0.296976385476999
"FHFW_cool",0.704227575836703,0.557097018571803,0.849914990371559,0.292817971799755
"FHFW_hot",0.704660430867225,0.555800595512847,0.851374232834205,0.295573637321358
