"scenario","median","Q1","Q3","IQR"
"CHHW",0.0667201677158009,0.0307449620589614,0.154594534798642,0.12384957273968
"CHFW_cool",0.0654011727944016,0.0302838069113204,0.151477619202342,0.121193812291021
"CHFW_hot",0.0646309467726387,0.0300615692596184,0.148725081379176,0.118663512119558
"FHHW",0.0503108839960769,0.0240048500028206,0.114567759074504,0.090562909071683
"FHFW_cool",0.051069452255033,0.024218156097224,0.115652879232424,0.0914347231352003
"FHFW_hot",0.0507394695128314,0.0240759149038349,0.115020309066633,0.0909443941627978
