"Label (Grouping)","Orlando-Kissimmee-Sanford, FL Metro Area!!Occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Occupied housing units!!Margin of Error","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent occupied housing units!!Margin of Error","Orlando-Kissimmee-Sanford, FL Metro Area!!Owner-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Owner-occupied housing units!!Margin of Error","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent owner-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent owner-occupied housing units!!Margin of Error","Orlando-Kissimmee-Sanford, FL Metro Area!!Renter-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Renter-occupied housing units!!Margin of Error","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent renter-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent renter-occupied housing units!!Margin of Error"
"        $50,000 to $74,999","186,187","±9,520","18.8%","±1.0","112,345","±6,423","17.9%","±1.0","73,842","±7,490","20.3%","±2.0"
"            Less than 20 percent","57,463","±4,073","5.8%","±0.4","51,741","±4,129","8.3%","±0.7","5,722","±1,646","1.6%","±0.5"
"            20 to 29 percent","63,815","±6,158","6.4%","±0.6","32,582","±4,534","5.2%","±0.7","31,233","±4,322","8.6%","±1.2"
"            30 percent or more","64,909","±6,863","6.6%","±0.7","28,022","±3,631","4.5%","±0.6","36,887","±5,484","10.1%","±1.4"
"        $75,000 or more","427,986","±9,527","43.2%","±1.0","332,382","±9,096","53.0%","±1.1","95,604","±7,967","26.3%","±1.9"
"            Less than 20 percent","287,315","±8,379","29.0%","±0.9","241,819","±8,458","38.6%","±1.2","45,496","±5,208","12.5%","±1.3"
"            20 to 29 percent","110,287","±7,970","11.1%","±0.8","70,068","±5,389","11.2%","±0.8","40,219","±5,509","11.1%","±1.4"
"            30 percent or more","30,384","±4,169","3.1%","±0.4","20,495","±3,534","3.3%","±0.6","9,889","±2,463","2.7%","±0.7"
"        Zero or negative income","19,438","±3,285","2.0%","±0.3","7,213","±1,797","1.2%","±0.3","12,225","±2,803","3.4%","±0.8"
"        No cash rent","9,127","±1,892","0.9%","±0.2","(X)","(X)","(X)","(X)","9,127","±1,892","2.5%","±0.5"
